year,importer,exporter,import_in_us_billion,import_spike_next_year,import_dip_next_year,exporter_region,importer_region
2010,Austria,Brazil,0.25,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2011,Austria,Brazil,0.34,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2012,Austria,Brazil,0.17,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2013,Austria,Brazil,0.15,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2014,Austria,Brazil,0.21,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1991,Hungary,Brazil,0.11,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1992,Hungary,Brazil,0.11,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1993,Hungary,Brazil,0.12,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1994,Hungary,Brazil,0.14,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1995,Hungary,Brazil,0.14,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1996,Hungary,Brazil,0.17,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1997,Hungary,Brazil,0.18,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1998,Hungary,Brazil,0.19,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1999,Hungary,Brazil,0.2,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2000,Hungary,Brazil,0.21,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2001,Hungary,Brazil,0.23,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2002,Hungary,Brazil,0.23,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2003,Hungary,Brazil,0.28,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2004,Hungary,Brazil,0.14,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2005,Hungary,Brazil,0.22,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2006,Hungary,Brazil,0.14,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2007,Hungary,Brazil,0.14,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2008,Hungary,Brazil,0.13,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2009,Hungary,Brazil,0.1,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2010,Hungary,Brazil,0.1,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2011,Hungary,Brazil,0.13,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2012,Hungary,Brazil,0.15,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2013,Hungary,Brazil,0.12,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2014,Hungary,Brazil,0.15,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1993,Czech Republic,Brazil,0.03,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1994,Czech Republic,Brazil,0.06,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1995,Czech Republic,Brazil,0.1,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1996,Czech Republic,Brazil,0.12,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1997,Czech Republic,Brazil,0.11,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1998,Czech Republic,Brazil,0.11,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1999,Czech Republic,Brazil,0.09,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2000,Czech Republic,Brazil,0.12,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2001,Czech Republic,Brazil,0.12,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2002,Czech Republic,Brazil,0.1,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2003,Czech Republic,Brazil,0.14,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2004,Czech Republic,Brazil,0.2,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2005,Czech Republic,Brazil,0.19,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2006,Czech Republic,Brazil,0.08,0,1,LATIN AMER. & CARIB,EASTERN EUROPE
2007,Czech Republic,Brazil,0.12,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2008,Czech Republic,Brazil,0.18,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2009,Czech Republic,Brazil,0.12,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2010,Czech Republic,Brazil,0.13,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2011,Czech Republic,Brazil,0.12,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2012,Czech Republic,Brazil,0.11,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2013,Czech Republic,Brazil,0.08,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2014,Czech Republic,Brazil,0.1,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1993,Slovakia,Brazil,0.01,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1994,Slovakia,Brazil,0.02,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1995,Slovakia,Brazil,0.02,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1996,Slovakia,Brazil,0.02,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1997,Slovakia,Brazil,0.02,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1998,Slovakia,Brazil,0.02,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1999,Slovakia,Brazil,0.02,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2000,Slovakia,Brazil,0.02,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2001,Slovakia,Brazil,0.03,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2002,Slovakia,Brazil,0.05,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2003,Slovakia,Brazil,0.03,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2004,Slovakia,Brazil,0.04,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2005,Slovakia,Brazil,0.04,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2006,Slovakia,Brazil,0.04,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2007,Slovakia,Brazil,0.04,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2008,Slovakia,Brazil,0.07,1,0,LATIN AMER. & CARIB,EASTERN EUROPE
2009,Slovakia,Brazil,0.03,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2010,Slovakia,Brazil,0.04,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2011,Slovakia,Brazil,0.03,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2012,Slovakia,Brazil,0.04,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2013,Slovakia,Brazil,0.04,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
2014,Slovakia,Brazil,0.03,0,0,LATIN AMER. & CARIB,EASTERN EUROPE
1991,Italy,Brazil,1.84,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1992,Italy,Brazil,1.85,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1993,Italy,Brazil,1.53,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1994,Italy,Brazil,1.85,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1995,Italy,Brazil,2.04,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1996,Italy,Brazil,1.89,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1997,Italy,Brazil,1.9,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1998,Italy,Brazil,2.13,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1999,Italy,Brazil,1.95,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2000,Italy,Brazil,2.37,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2001,Italy,Brazil,2.05,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2002,Italy,Brazil,2.04,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2003,Italy,Brazil,2.44,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2004,Italy,Brazil,3.31,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2005,Italy,Brazil,3.59,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2006,Italy,Brazil,4.32,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2007,Italy,Brazil,5.18,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2008,Italy,Brazil,5.68,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2009,Italy,Brazil,3.35,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2010,Italy,Brazil,4.34,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2011,Italy,Brazil,5.74,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2012,Italy,Brazil,4.3,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2013,Italy,Brazil,4.19,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2014,Italy,Brazil,4.05,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1991,Greece,Brazil,0.2,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1992,Greece,Brazil,0.12,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1993,Greece,Brazil,0.08,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1994,Greece,Brazil,0.11,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1995,Greece,Brazil,0.19,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1996,Greece,Brazil,0.17,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1997,Greece,Brazil,0.18,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1998,Greece,Brazil,0.11,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1999,Greece,Brazil,0.1,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2000,Greece,Brazil,0.11,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2001,Greece,Brazil,0.17,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2002,Greece,Brazil,0.09,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2003,Greece,Brazil,0.14,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2004,Greece,Brazil,0.34,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2005,Greece,Brazil,0.3,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2006,Greece,Brazil,0.2,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2007,Greece,Brazil,0.33,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2008,Greece,Brazil,0.38,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2009,Greece,Brazil,0.24,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2010,Greece,Brazil,0.38,1,0,LATIN AMER. & CARIB,WESTERN EUROPE
2011,Greece,Brazil,0.18,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2012,Greece,Brazil,0.12,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2013,Greece,Brazil,0.11,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2014,Greece,Brazil,0.14,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1991,Russia,Brazil,0.09,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
1992,Russia,Brazil,0.1,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
1993,Russia,Brazil,0.11,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
1994,Russia,Brazil,0.19,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
1995,Russia,Brazil,0.36,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
1996,Russia,Brazil,0.2,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
1997,Russia,Brazil,0.47,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
1998,Russia,Brazil,0.62,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
1999,Russia,Brazil,0.71,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2000,Russia,Brazil,0.39,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2001,Russia,Brazil,0.92,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2002,Russia,Brazil,0.95,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2003,Russia,Brazil,1.47,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2004,Russia,Brazil,1.37,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2005,Russia,Brazil,2.34,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2006,Russia,Brazil,2.98,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2007,Russia,Brazil,4.11,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2008,Russia,Brazil,4.67,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2009,Russia,Brazil,3.5,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2010,Russia,Brazil,4.08,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2011,Russia,Brazil,4.36,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2012,Russia,Brazil,3.36,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2013,Russia,Brazil,3.49,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2014,Russia,Brazil,3.97,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
1992,Ukraine,Brazil,0.0,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
1993,Ukraine,Brazil,0.04,1,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
1994,Ukraine,Brazil,0.02,0,1,LATIN AMER. & CARIB,C.W. OF IND. STATES
1995,Ukraine,Brazil,0.06,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
1996,Ukraine,Brazil,0.11,1,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
1997,Ukraine,Brazil,0.05,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
1998,Ukraine,Brazil,0.06,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
1999,Ukraine,Brazil,0.09,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2000,Ukraine,Brazil,0.09,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2001,Ukraine,Brazil,0.11,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2002,Ukraine,Brazil,0.13,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2003,Ukraine,Brazil,0.36,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2004,Ukraine,Brazil,0.27,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2005,Ukraine,Brazil,0.31,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2006,Ukraine,Brazil,0.28,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2007,Ukraine,Brazil,0.43,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2008,Ukraine,Brazil,0.56,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2009,Ukraine,Brazil,0.38,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2010,Ukraine,Brazil,0.46,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2011,Ukraine,Brazil,0.54,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2012,Ukraine,Brazil,0.57,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2013,Ukraine,Brazil,0.46,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
2014,Ukraine,Brazil,0.26,0,0,LATIN AMER. & CARIB,C.W. OF IND. STATES
1991,Finland,Brazil,0.12,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1992,Finland,Brazil,0.13,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1993,Finland,Brazil,0.1,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1994,Finland,Brazil,0.18,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1995,Finland,Brazil,0.1,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1996,Finland,Brazil,0.12,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1997,Finland,Brazil,0.15,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1998,Finland,Brazil,0.18,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1999,Finland,Brazil,0.17,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2000,Finland,Brazil,0.18,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2001,Finland,Brazil,0.15,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2002,Finland,Brazil,0.15,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2003,Finland,Brazil,0.21,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2004,Finland,Brazil,0.26,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2005,Finland,Brazil,0.4,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2006,Finland,Brazil,0.53,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2007,Finland,Brazil,0.56,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2008,Finland,Brazil,0.56,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2009,Finland,Brazil,0.42,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2010,Finland,Brazil,0.5,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2011,Finland,Brazil,0.72,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2012,Finland,Brazil,0.65,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2013,Finland,Brazil,0.52,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2014,Finland,Brazil,0.49,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1991,Sweden,Brazil,0.26,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1992,Sweden,Brazil,0.21,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1993,Sweden,Brazil,0.18,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1994,Sweden,Brazil,0.3,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1995,Sweden,Brazil,0.21,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1996,Sweden,Brazil,0.17,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1997,Sweden,Brazil,0.22,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1998,Sweden,Brazil,0.22,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1999,Sweden,Brazil,0.25,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2000,Sweden,Brazil,0.27,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2001,Sweden,Brazil,0.2,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2002,Sweden,Brazil,0.25,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2003,Sweden,Brazil,0.27,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2004,Sweden,Brazil,0.55,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2005,Sweden,Brazil,0.51,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2006,Sweden,Brazil,0.54,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2007,Sweden,Brazil,0.75,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2008,Sweden,Brazil,0.89,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2009,Sweden,Brazil,0.5,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2010,Sweden,Brazil,0.5,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2011,Sweden,Brazil,0.72,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2012,Sweden,Brazil,0.62,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2013,Sweden,Brazil,0.53,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2014,Sweden,Brazil,0.58,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1991,Norway,Brazil,0.11,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1992,Norway,Brazil,0.09,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1993,Norway,Brazil,0.08,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1994,Norway,Brazil,0.11,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1995,Norway,Brazil,0.13,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1996,Norway,Brazil,0.11,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1997,Norway,Brazil,0.2,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1998,Norway,Brazil,0.23,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1999,Norway,Brazil,0.23,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2000,Norway,Brazil,0.27,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2001,Norway,Brazil,0.25,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2002,Norway,Brazil,0.21,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2003,Norway,Brazil,0.35,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2004,Norway,Brazil,0.39,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2005,Norway,Brazil,0.51,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2006,Norway,Brazil,0.62,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2007,Norway,Brazil,0.85,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2008,Norway,Brazil,1.13,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2009,Norway,Brazil,0.85,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2010,Norway,Brazil,1.05,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2011,Norway,Brazil,1.37,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2012,Norway,Brazil,1.45,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2013,Norway,Brazil,1.31,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2014,Norway,Brazil,1.28,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1991,Denmark,Brazil,0.17,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1992,Denmark,Brazil,0.18,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1993,Denmark,Brazil,0.21,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1994,Denmark,Brazil,0.24,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1995,Denmark,Brazil,0.27,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1996,Denmark,Brazil,0.22,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1997,Denmark,Brazil,0.26,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1998,Denmark,Brazil,0.25,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1999,Denmark,Brazil,0.13,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2000,Denmark,Brazil,0.15,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2001,Denmark,Brazil,0.12,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2002,Denmark,Brazil,0.09,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2003,Denmark,Brazil,0.14,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2004,Denmark,Brazil,0.18,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2005,Denmark,Brazil,0.21,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2006,Denmark,Brazil,0.29,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2007,Denmark,Brazil,0.39,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2008,Denmark,Brazil,0.44,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2009,Denmark,Brazil,0.31,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2010,Denmark,Brazil,0.43,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2011,Denmark,Brazil,0.49,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2012,Denmark,Brazil,0.51,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2013,Denmark,Brazil,0.58,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
2014,Denmark,Brazil,0.58,0,0,LATIN AMER. & CARIB,WESTERN EUROPE
1991,Nigeria,Brazil,0.18,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
1992,Nigeria,Brazil,0.34,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
1993,Nigeria,Brazil,0.26,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
1994,Nigeria,Brazil,0.16,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
1995,Nigeria,Brazil,0.27,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
1996,Nigeria,Brazil,0.3,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
1997,Nigeria,Brazil,0.27,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
1998,Nigeria,Brazil,0.36,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
1999,Nigeria,Brazil,0.25,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
2000,Nigeria,Brazil,0.18,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
2001,Nigeria,Brazil,0.17,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
2002,Nigeria,Brazil,0.18,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
2003,Nigeria,Brazil,0.18,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
2004,Nigeria,Brazil,0.56,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
2005,Nigeria,Brazil,1.05,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
2006,Nigeria,Brazil,1.51,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
2007,Nigeria,Brazil,1.66,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
2008,Nigeria,Brazil,1.69,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
2009,Nigeria,Brazil,1.18,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
2010,Nigeria,Brazil,0.95,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
2011,Nigeria,Brazil,1.31,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
2012,Nigeria,Brazil,1.17,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
2013,Nigeria,Brazil,0.96,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
2014,Nigeria,Brazil,1.05,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
1991,South Africa,Brazil,0.16,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
1992,South Africa,Brazil,0.17,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
1993,South Africa,Brazil,0.19,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
1994,South Africa,Brazil,0.22,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
1995,South Africa,Brazil,0.26,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
1996,South Africa,Brazil,0.29,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
1997,South Africa,Brazil,0.33,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
1998,South Africa,Brazil,0.25,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
1999,South Africa,Brazil,0.24,0,0,LATIN AMER. & CARIB,SUB-SAHARAN AFRICA
